id_name,Recency,Frequency,Monetary_Value,cluster
0,33,63,10106,0
1,35,62,10350,0
2,28,35,4742,0
3,28,81,12284,0
4,34,75,10943,0
5,39,53,8030,0
6,29,50,7907,0
7,30,74,12059,0
8,23,81,13709,0
9,30,64,9895,0
10,24,60,10510,0
11,27,60,9219,0
12,32,78,13158,0
13,41,54,8848,0
14,30,60,9119,0
15,26,43,6694,0
16,32,57,9398,0
17,29,73,9936,0
18,28,85,12745,0
19,24,69,10965,0
20,25,46,7435,0
21,37,73,11871,0
22,23,82,11817,0
23,25,75,12270,0
24,63,50,8384,0
25,22,82,12729,0
26,32,71,10617,0
27,33,82,14102,0
28,34,56,8424,0
29,32,67,10476,0
30,32,74,11096,0
31,36,74,11021,0
32,27,86,14946,0
33,31,59,9498,0
34,32,66,10389,0
35,31,61,9378,0
36,24,68,11045,0
37,29,68,11574,0
38,28,41,6405,1
39,36,66,10698,0
40,25,102,15968,0
41,27,52,7973,0
42,25,63,9742,0
43,28,74,11261,0
44,32,47,7008,1
45,33,31,4249,1
46,38,50,7853,1
47,27,72,10806,0
48,28,98,15932,0
49,23,58,9669,0
50,28,71,10827,0
51,21,85,13592,0
52,26,68,10005,0
53,23,80,13195,0
54,40,52,7625,1
55,25,76,10229,0
56,26,55,9066,0
57,28,44,7145,1
58,28,64,9380,0
59,28,73,10674,0
60,26,51,8696,0
61,42,57,9411,0
62,32,88,13605,0
63,46,68,10684,0
64,29,75,12921,0
65,25,95,14621,0
66,33,66,9840,0
67,50,58,9316,0
68,25,102,16291,0
69,25,77,13383,0
70,25,71,10948,0
71,42,45,6205,1
72,22,58,9873,0
73,28,51,7533,1
74,26,47,8096,1
75,31,54,8779,0
76,55,36,6081,1
77,32,69,11892,0
78,37,83,11759,0
79,32,63,10379,0
80,23,84,12493,0
81,27,73,11702,0
82,27,71,10153,0
83,25,56,8250,0
84,34,70,10394,0
85,31,84,12538,0
86,28,74,11943,0
87,33,67,9593,0
88,25,60,8553,0
89,34,57,8578,1
90,31,82,12888,0
91,42,65,10518,0
92,33,67,10943,0
93,28,73,10991,0
94,25,74,11926,0
95,32,68,11815,0
96,37,75,11339,0
97,32,48,6642,1
98,30,50,8210,1
99,39,62,9754,0
100,25,68,10496,0
101,26,72,11003,0
102,36,64,10108,0
103,26,74,12052,0
104,33,72,10422,0
105,32,54,9233,1
106,27,71,11714,0
107,25,49,7518,1
108,32,76,13010,0
109,29,74,11552,0
110,31,49,8135,1
111,33,61,9564,0
112,26,49,7747,1
113,41,59,8710,1
114,27,36,5329,1
115,26,86,13687,2
116,29,83,12454,2
117,30,79,12872,2
118,27,68,11894,0
